trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2,05:55:00,05:55:00,62,1,,0,0,1
2,05:57:00,05:57:00,61,2,,0,0,1
2,06:01:00,06:01:00,37,3,,0,0,1
2,06:04:00,06:04:00,103,4,,0,0,1
2,06:10:00,06:10:00,105,5,,0,0,1
2,06:13:00,06:13:00,39,6,,0,0,1
2,06:17:00,06:17:00,104,7,,0,0,1
2,06:23:00,06:23:00,16,8,,0,0,1
3,18:55:00,18:55:00,62,1,,0,0,1
3,18:57:00,18:57:00,61,2,,0,0,1
3,19:01:00,19:01:00,37,3,,0,0,1
3,19:04:00,19:04:00,103,4,,0,0,1
3,19:10:00,19:10:00,105,5,,0,0,1
3,19:13:00,19:13:00,39,6,,0,0,1
3,19:17:00,19:17:00,104,7,,0,0,1
3,19:23:00,19:23:00,16,8,,0,0,1
4,20:25:00,20:25:00,62,1,,0,0,1
4,20:27:00,20:27:00,61,2,,0,0,1
4,20:31:00,20:31:00,37,3,,0,0,1
4,20:34:00,20:34:00,103,4,,0,0,1
4,20:40:00,20:40:00,105,5,,0,0,1
4,20:43:00,20:43:00,39,6,,0,0,1
4,20:47:00,20:47:00,104,7,,0,0,1
4,20:53:00,20:53:00,16,8,,0,0,1
5,06:27:00,06:27:00,16,1,,0,1,1
5,06:55:00,06:55:00,62,2,,0,0,1
6,08:27:00,08:27:00,16,1,,0,1,1
6,08:55:00,08:55:00,62,2,,0,0,1
7,19:27:00,19:27:00,16,1,,0,1,1
7,19:55:00,19:55:00,62,2,,0,0,1
8,20:57:00,20:57:00,16,1,,0,1,1
8,21:25:00,21:25:00,62,2,,0,0,1
9,06:10:00,06:10:00,49,1,,0,0,1
9,06:11:00,06:11:00,50,2,,0,0,1
9,06:13:00,06:13:00,51,3,,0,0,1
9,06:15:00,06:15:00,52,4,,0,0,1
9,06:17:00,06:17:00,53,5,,0,0,1
9,06:23:00,06:23:00,16,6,,0,0,1
10,19:10:00,19:10:00,49,1,,0,0,1
10,19:11:00,19:11:00,50,2,,0,0,1
10,19:13:00,19:13:00,51,3,,0,0,1
10,19:15:00,19:15:00,52,4,,0,0,1
10,19:17:00,19:17:00,53,5,,0,0,1
10,19:23:00,19:23:00,16,6,,0,0,1
11,20:40:00,20:40:00,49,1,,0,0,1
11,20:41:00,20:41:00,50,2,,0,0,1
11,20:43:00,20:43:00,51,3,,0,0,1
11,20:45:00,20:45:00,52,4,,0,0,1
11,20:47:00,20:47:00,53,5,,0,0,1
11,20:53:00,20:53:00,16,6,,0,0,1
12,06:27:00,06:27:00,16,1,,0,0,1
12,06:40:00,06:40:00,49,2,,1,0,1
13,08:27:00,08:27:00,16,1,,0,0,1
13,08:40:00,08:40:00,49,2,,1,0,1
14,19:27:00,19:27:00,16,1,,0,0,1
14,19:40:00,19:40:00,49,2,,1,0,1
15,20:57:00,20:57:00,16,1,,0,0,1
15,21:10:00,21:10:00,49,2,,1,0,1
16,07:28:00,07:28:00,115,1,,0,0,1
16,07:37:00,07:37:00,20,2,,0,0,1
16,07:45:00,07:45:00,87,3,,0,0,1
16,07:53:00,07:53:00,11,4,,0,0,1
16,08:01:00,08:01:00,24,5,,0,0,1
16,08:16:00,08:16:00,118,6,,0,0,1
16,08:20:00,08:20:00,23,7,,0,0,1
18,18:20:00,18:20:00,115,1,,0,0,1
18,18:29:00,18:29:00,20,2,,0,0,1
18,18:37:00,18:37:00,87,3,,0,0,1
18,18:45:00,18:45:00,11,4,,0,0,1
18,18:53:00,18:53:00,24,5,,0,0,1
18,19:08:00,19:08:00,118,6,,0,0,1
18,19:12:00,19:12:00,23,7,,0,0,1
19,19:20:00,19:20:00,115,1,,0,0,1
19,19:29:00,19:29:00,20,2,,0,0,1
19,19:37:00,19:37:00,87,3,,0,0,1
19,19:45:00,19:45:00,11,4,,0,0,1
19,19:53:00,19:53:00,24,5,,0,0,1
19,20:08:00,20:08:00,118,6,,0,0,1
19,20:12:00,20:12:00,23,7,,0,0,1
20,06:36:00,06:36:00,86,1,,0,0,1
20,06:40:45,06:40:45,66,2,,0,0,0
20,06:42:18,06:42:18,74,3,,0,0,0
20,06:44:23,06:44:23,68,4,,0,0,0
20,06:49:07,06:49:07,107,5,,0,0,0
20,06:50:51,06:50:51,108,6,,0,0,0
20,06:53:42,06:53:42,131,7,,0,0,0
20,06:54:17,06:54:17,133,8,,0,0,0
20,06:56:26,06:56:26,132,9,,0,0,0
20,06:58:27,06:58:27,82,10,,0,0,0
20,07:01:03,07:01:03,83,11,,0,0,0
20,07:03:40,07:03:40,84,12,,0,0,0
20,07:05:40,07:05:40,85,13,,0,0,0
20,07:06:46,07:06:46,67,14,,0,0,0
20,07:11:00,07:11:00,86,15,,0,0,1
21,06:56:00,06:56:00,86,1,,0,0,1
21,07:00:45,07:00:45,66,2,,0,0,0
21,07:02:18,07:02:18,74,3,,0,0,0
21,07:04:23,07:04:23,68,4,,0,0,0
21,07:09:07,07:09:07,107,5,,0,0,0
21,07:10:51,07:10:51,108,6,,0,0,0
21,07:13:42,07:13:42,131,7,,0,0,0
21,07:14:17,07:14:17,133,8,,0,0,0
21,07:16:26,07:16:26,132,9,,0,0,0
21,07:18:27,07:18:27,82,10,,0,0,0
21,07:21:03,07:21:03,83,11,,0,0,0
21,07:23:40,07:23:40,84,12,,0,0,0
21,07:25:40,07:25:40,85,13,,0,0,0
21,07:26:46,07:26:46,67,14,,0,0,0
21,07:31:00,07:31:00,86,15,,0,0,1
22,20:20:00,20:20:00,115,1,,0,0,1
22,20:29:00,20:29:00,20,2,,0,0,1
22,20:37:00,20:37:00,87,3,,0,0,1
22,20:45:00,20:45:00,11,4,,0,0,1
22,20:53:00,20:53:00,24,5,,0,0,1
22,21:08:00,21:08:00,118,6,,0,0,1
22,21:12:00,21:12:00,23,7,,0,0,1
23,13:24:00,13:24:00,4,1,,0,0,1
23,13:29:00,13:29:00,17,2,,0,0,1
23,13:35:00,13:35:00,18,3,,0,0,1
23,13:42:00,13:42:00,19,4,,0,0,1
23,13:50:00,13:50:00,87,5,,0,0,1
24,21:20:00,21:20:00,87,1,,0,0,1
24,21:33:00,21:33:00,19,2,,0,0,1
24,21:39:00,21:39:00,18,3,,0,0,1
24,21:47:00,21:47:00,17,4,,0,0,1
24,21:49:00,21:49:00,4,5,,0,0,1
25,19:18:00,19:18:00,115,1,,0,0,1
25,19:27:00,19:27:00,87,2,,0,0,1
25,19:35:00,19:35:00,11,3,,0,0,1
25,19:43:00,19:43:00,24,4,,0,0,1
25,19:58:00,19:58:00,118,5,,0,0,1
25,20:02:00,20:02:00,23,6,,0,0,1
26,20:06:00,20:06:00,115,1,,0,0,1
26,20:15:00,20:15:00,87,2,,0,0,1
26,20:23:00,20:23:00,11,3,,0,0,1
26,20:31:00,20:31:00,24,4,,0,0,1
26,20:46:00,20:46:00,118,5,,0,0,1
26,20:50:00,20:50:00,23,6,,0,0,1
27,20:54:00,20:54:00,115,1,,0,0,1
27,21:03:00,21:03:00,87,2,,0,0,1
27,21:11:00,21:11:00,11,3,,0,0,1
27,21:19:00,21:19:00,24,4,,0,0,1
27,21:34:00,21:34:00,118,5,,0,0,1
27,21:38:00,21:38:00,23,6,,0,0,1
28,06:30:00,06:30:00,23,1,,0,0,1
28,06:37:00,06:37:00,118,2,,0,0,1
28,06:51:00,06:51:00,24,3,,0,0,1
28,07:00:00,07:00:00,11,4,,0,0,1
28,07:09:00,07:09:00,87,5,,0,0,1
28,07:14:00,07:14:00,115,6,,0,0,1
29,07:02:00,07:02:00,23,1,,0,0,1
29,07:09:00,07:09:00,118,2,,0,0,1
29,07:23:00,07:23:00,24,3,,0,0,1
29,07:32:00,07:32:00,11,4,,0,0,1
29,07:41:00,07:41:00,87,5,,0,0,1
29,07:46:00,07:46:00,115,6,,0,0,1
30,07:34:00,07:34:00,23,1,,0,0,1
30,07:41:00,07:41:00,118,2,,0,0,1
30,07:55:00,07:55:00,24,3,,0,0,1
30,08:04:00,08:04:00,11,4,,0,0,1
30,08:13:00,08:13:00,87,5,,0,0,1
30,08:18:00,08:18:00,115,6,,0,0,1
31,08:06:00,08:06:00,23,1,,0,0,1
31,08:13:00,08:13:00,118,2,,0,0,1
31,08:27:00,08:27:00,24,3,,0,0,1
31,08:36:00,08:36:00,11,4,,0,0,1
31,08:45:00,08:45:00,87,5,,0,0,1
31,08:50:00,08:50:00,115,6,,0,0,1
32,08:38:00,08:38:00,23,1,,0,0,1
32,08:45:00,08:45:00,118,2,,0,0,1
32,08:59:00,08:59:00,24,3,,0,0,1
32,09:08:00,09:08:00,11,4,,0,0,1
32,09:17:00,09:17:00,87,5,,0,0,1
32,09:22:00,09:22:00,115,6,,0,0,1
33,06:32:00,06:32:00,23,1,,0,0,1
33,06:39:00,06:39:00,118,2,,0,0,1
33,06:53:00,06:53:00,24,3,,0,0,1
33,07:02:00,07:02:00,11,4,,0,0,1
33,07:11:00,07:11:00,87,5,,0,0,1
33,07:19:00,07:19:00,20,6,,0,0,1
33,07:24:00,07:24:00,115,7,,0,0,1
34,09:10:00,09:10:00,23,1,,0,0,1
34,09:17:00,09:17:00,118,2,,0,0,1
34,09:31:00,09:31:00,24,3,,0,0,1
34,09:40:00,09:40:00,11,4,,0,0,1
34,09:49:00,09:49:00,87,5,,0,0,1
34,09:54:00,09:54:00,115,6,,0,0,1
35,09:42:00,09:42:00,23,1,,0,0,1
35,09:49:00,09:49:00,118,2,,0,0,1
35,10:03:00,10:03:00,24,3,,0,0,1
35,10:12:00,10:12:00,11,4,,0,0,1
35,10:21:00,10:21:00,87,5,,0,0,1
35,10:26:00,10:26:00,115,6,,0,0,1
36,10:14:00,10:14:00,23,1,,0,0,1
36,10:21:00,10:21:00,118,2,,0,0,1
36,10:35:00,10:35:00,24,3,,0,0,1
36,10:44:00,10:44:00,11,4,,0,0,1
36,10:53:00,10:53:00,87,5,,0,0,1
36,10:58:00,10:58:00,115,6,,0,0,1
