route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RES",5,2,"Rockaway",10101,0,101,39
"RES",4,3,"Rockaway",10117,0,101,39
"RES",4,4,"Rockaway",10119,0,101,39
"RES",5,5,"Rockaway East",10102,1,101,37
"RES",5,6,"Rockaway East",10104,1,101,37
"RES",4,7,"Rockaway East",10118,1,101,37
"RES",4,8,"Rockaway East",10120,1,101,37
"RWS",5,9,"Rockaway",20101,0,201,4
"RWS",4,10,"Rockaway",20117,0,201,4
"RWS",4,11,"Rockaway",20119,0,201,4
"RWS",5,12,"Rockaway West",20102,1,201,70
"RWS",5,13,"Rockaway West",20104,1,201,70
"RWS",4,14,"Rockaway West",20118,1,201,70
"RWS",4,15,"Rockaway West",20120,1,201,70
"SB",4,16,"Bay Ridge",3102,0,31,106
"SB",4,18,"Bay Ridge",3209,0,32,106
"SB",4,19,"Bay Ridge",3114,0,31,106
"ERS",1,20,"East River Midtown Shuttle",30101,1,301,112
"ERS",1,21,"East River Midtown Shuttle",30201,1,302,112
"SB",4,22,"Bay Ridge",3211,0,32,106
"ER",3,23,"Wall St./Pier 11",1213,0,12,65
"ER",6,24,"Hunters Point South",1319,1,13,30
"SB",3,25,"Bay Ridge",3116,0,31,49
"SB",3,26,"Bay Ridge",3210,0,32,49
"SB",3,27,"Bay Ridge",3118,0,31,49
"SB",3,28,"Corlears Hook",3101,1,31,10
"SB",3,29,"Corlears Hook",3201,1,32,10
"SB",3,30,"Corlears Hook",3302,1,33,10
"SB",3,31,"Corlears Hook",3103,1,31,10
"SB",3,32,"Corlears Hook",3203,1,32,10
"SB",4,33,"Corlears Hook",3101,1,31,105
"SB",3,34,"Corlears Hook",3304,1,33,10
"SB",3,35,"Corlears Hook",3105,1,31,10
"SB",3,36,"Corlears Hook",3205,1,32,10
"SB",4,37,"Corlears Hook",3210,1,32,105
"SB",3,38,"Corlears Hook",3306,1,33,10
"SB",3,39,"Corlears Hook",3107,1,31,10
"SB",3,40,"Corlears Hook",3308,1,33,10
"SB",3,41,"Corlears Hook",3109,1,31,10
"SB",3,42,"Corlears Hook",3310,1,33,10
"SB",3,43,"Corlears Hook",3111,1,31,10
"SB",3,44,"Corlears Hook",3312,1,33,10
"SB",3,45,"Corlears Hook",3113,1,31,10
"SB",3,46,"Corlears Hook",3314,1,33,10
"SB",3,47,"Corlears Hook",3207,1,32,10
"SB",3,48,"Corlears Hook",3115,1,31,10
"SB",3,49,"Corlears Hook",3316,1,33,10
"SB",3,50,"Corlears Hook",3209,1,32,10
"SB",4,51,"Corlears Hook",3115,1,31,105
"SB",3,52,"Corlears Hook",3117,1,31,10
"SB",3,53,"Corlears Hook",3211,1,32,10
"SB",3,54,"Corlears Hook",3119,1,31,10
"SB",6,55,"Bay Ridge",3201,0,32,49
"SB",6,56,"Bay Ridge",3103,0,31,49
"SB",6,57,"Bay Ridge",3203,0,32,49
"SB",6,58,"Bay Ridge",3105,0,31,49
"SB",6,59,"Bay Ridge",3301,0,33,49
"SB",6,60,"Bay Ridge",3205,0,32,49
"SB",6,61,"Bay Ridge",3107,0,31,49
"SB",6,62,"Bay Ridge",3303,0,33,49
"SB",6,63,"Bay Ridge",3207,0,32,49
"SB",6,64,"Bay Ridge",3109,0,31,49
"SB",6,65,"Bay Ridge",3305,0,33,49
"SB",6,66,"Bay Ridge",3209,0,32,49
"SB",6,67,"Bay Ridge",3111,0,31,49
"SB",6,68,"Bay Ridge",3307,0,33,49
"SB",6,69,"Bay Ridge",3211,0,32,49
"SB",4,70,"Corlears Hook",3212,1,32,105
"AS",5,71,"East 90th St",4102,1,41,107
"AS",4,72,"East 90th St",4209,1,42,107
"ER",4,73,"Hunters Point South",1102,1,11,23
"ER",4,74,"Hunters Point South",1211,1,12,23
"ER",4,75,"Hunters Point South",1118,1,11,23
"ER",4,76,"Hunters Point South",1213,1,12,23
"ER",4,77,"Hunters Point South",1120,1,11,23
"ER",4,78,"Hunters Point South",1215,1,12,23
"ER",4,79,"Wall St./Pier 11",1101,0,11,114
"ER",4,80,"Wall St./Pier 11",1103,0,11,114
"ER",4,81,"Wall St./Pier 11",1117,0,11,114
"ER",4,82,"Wall St./Pier 11",1212,0,12,114
"ER",4,83,"Wall St./Pier 11",1119,0,11,114
"ER",4,84,"Wall St./Pier 11",1214,0,12,114
"ER",4,85,"Wall St./Pier 11",1121,0,11,114
"RW",5,86,"Rockaway",2102,0,21,8
"RW",4,87,"Rockaway",2110,0,21,8
"RW",4,88,"Rockaway",2207,0,22,8
"RW",5,89,"Wall St./Pier 11",2101,1,21,7
"RW",4,90,"Wall St./Pier 11",2111,1,21,7
"RW",4,91,"Wall St./Pier 11",2208,1,22,7
"SB",6,92,"Bay Ridge",3113,0,31,49
"SB",6,93,"Bay Ridge",3309,0,33,49
"SB",6,94,"Bay Ridge",3213,0,32,49
"SB",3,95,"Bay Ridge",3208,0,32,49
"SB",6,96,"Bay Ridge",3311,0,33,49
"SB",6,97,"Bay Ridge",3215,0,32,49
"SB",6,98,"Bay Ridge",3117,0,31,49
"ERS",1,99,"East River Midtown Shuttle",30102,1,301,112
"SB",6,100,"Bay Ridge",3313,0,33,49
"SB",6,101,"Bay Ridge",3217,0,32,49
"SB",6,102,"Bay Ridge",3119,0,31,49
"SB",6,103,"Bay Ridge",3315,0,33,49
"SB",6,104,"Bay Ridge",3219,0,32,49
"SB",6,105,"Corlears Hook",3101,1,31,10
"AS",4,106,"East 90th St",4211,1,42,107
"AS",5,107,"Wall St./Pier 11",4101,0,41,108
"AS",4,108,"Wall St./Pier 11",4113,0,41,108
"AS",4,109,"Wall St./Pier 11",4210,0,42,108
"AS",4,110,"Wall St./Pier 11",4212,0,42,108
"SV",5,111,"Soundview",6102,1,61,103
"SV",4,112,"Soundview",6207,1,62,103
"SV",4,113,"Soundview",6112,1,61,103
"SV",5,114,"Wall St./Pier 11",6101,0,61,104
"SV",4,115,"Wall St./Pier 11",6111,0,61,104
"SV",4,116,"Wall St./Pier 11",6208,0,62,104
"SV",1,117,"Soundview",6301,1,63,103
"SB",6,132,"Corlears Hook",3202,1,32,10
"SB",6,133,"Corlears Hook",3104,1,31,10
"SB",6,134,"Corlears Hook",3204,1,32,10
"SB",6,135,"Corlears Hook",3106,1,31,10
"SB",6,136,"Corlears Hook",3302,1,33,10
"SB",6,137,"Corlears Hook",3206,1,32,10
"SB",6,138,"Corlears Hook",3108,1,31,10
"SB",6,139,"Corlears Hook",3304,1,33,10
"SB",6,140,"Corlears Hook",3208,1,32,10
"SB",6,141,"Corlears Hook",3110,1,31,10
