Landing,stop_id,stop_code,stop_name,stop_lat,stop_lon
Astoria,89,2319818,Astoria,40.77172,-73.935714
Atlantic Ave Pier 6,11,2319817,Atlantic Ave/BBP Pier 6,40.692315,-74.002073
Battery Maritime Building,,,,40.7012306,-74.0139855
Battery Park,,,,40.70245,-74.01686
Bayridge,23,2319815,Bay Ridge,40.639858,-74.03813
BMB,,,,40.7012306,-74.0139855
BMB Slip #5,,,,40.70125,-74.01175
Brooklyn Bridge Park / Atlantic Ave Pier 6,,,,40.692315,-74.002073
Brooklyn Navy Yard,,,,40.70159,-73.97344
Christopher Street,,,,40.73246,-74.01106
Citi Field,,,,40.76022,-73.84925
Corlears Hook,,,,40.71018,-73.97923
DUMBO,20,2319810,Dumbo/BBP Pier 1,40.70354,-73.995763
East 34th Street,17,2319805,East 34th Street,40.743912,-73.970731
East 90th Street,,,,40.77725,-73.94224
Fulton Ferry,,,,40.70354,-73.995763
Governor's Island,,,,40.68639,-74.01634
Governors Island,,,,40.68639,-74.01634
Greenpoint,18,2319807,Greenpoint,40.731365,-73.963617
Hunters Point,,,,40.741838,-73.961322
Hunters Point South,4,2319806,Hunters Point South,40.741838,-73.961322
Long Island City,90,2319820,Long Island City,40.74842,-73.957725
North Williamsburg,19,2319808,North Williamsburg,40.720838,-73.964902
NYU / Langone Shuttle,,,,40.743912,-73.970731
Pier 11,87,2319811,Wall St/Pier 11,40.703052,-74.006057
Pier 17,,,,40.70521,-74.0012
Pier 6,,,,40.692315,-74.002073
Pier 6 BBP Atlantic Ave,,,,40.692315,-74.002073
Pier 79,,,,40.76084,-74.00369
Pier 84,,,,40.76321,-74.00115
Red Hook,24,2319816,Red Hook/Atlantic Basin,40.680957,-74.013358
Redhook / Ikea Shuttle,,,,40.67091,-74.01336
Rockaway,88,2319813,Rockaway,40.584228,-73.831596
Roosevelt Island,25,2319819,Roosevelt Island,40.756811,-73.952482
Schaeffer Landing,,,,40.70857,-73.970169
Slip 5,,,,40.7012306,-74.0139855
Soundview,,,,40.80478,-73.84894
South Williamsburg,8,2319809,South Williamsburg,40.70857,-73.970169
Stuyvesant Cove,,,,40.73186,-73.97356
Sunset Park,,,,40.646276,-74.026436
Sunset Park / BAT,118,2319814,Sunset Park/BAT,40.646276,-74.026436
World Financial Center,,,,40.71511,-74.01739
World Financial Center/ BPT,,,,40.71511,-74.01739
World Financial Center/BPT,,,,40.71511,-74.01739
Yankee Stadium,,,,40.70125,-74.01175
